year,winner,gender,country,time,marathon
2018,Dickson Chumba,Male,Kenya,2:05:30,Tokyo
2018,Birhane Dibaba,Female,Ethiopia,2:19:51,Tokyo
2017,Wilson Kipsang,Male,Kenya,2:03:58,Tokyo
2017,Sarah Chepchirchir,Female,Kenya,2:19:47,Tokyo
2016,Feyisa Lilesa,Male,Ethiopia,2:06:56,Tokyo
2016,Helah Kiprop,Female,Kenya,2:21:27,Tokyo
2015,Endeshaw Negesse,Male,Ethiopia,2:06:00,Tokyo
2015,Birhane Dibaba,Female,Ethiopia,2:23:15,Tokyo
2014,Dickson Chumba,Male,Kenya,2:05:42,Tokyo
2014,Tirfi Tsegaye,Female,Ethiopia,2:22:23,Tokyo
2013,Dennis Kimetto,Male,Kenya,2:06:50,Tokyo
2013,Aberu Kebede,Female,Ethiopia,2:25:34,Tokyo
2012,Michael Kipyego,Male,Kenya,2:07:37,Tokyo
2012,Atsede Habtamu,Female,Ethiopia,2:25:28,Tokyo
2011,Hailu Mekonnen,Male,Ethiopia,2:07:35,Tokyo
2011,Noriko Higuchi,Female,Japan,2:28:49,Tokyo
2010,Masakazu Fujiwara,Male,Japan,2:12:19,Tokyo
2010,Alevtina Biktimirova,Female,Russia,2:34:39,Tokyo
2009,Salim Kipsang,Male,Kenya,2:10:27,Tokyo
2009,Mizuho Nasukawa,Female,Japan,2:25:38,Tokyo
2008,Viktor Röthlin,Male,Switzerland,2:07:23,Tokyo
2008,Claudia Dreher,Female,Germany,2:35:35,Tokyo
2007,Daniel Njenga,Male,Kenya,2:09:45,Tokyo
2007,Hitomi Niiya,Female,Japan,2:31:02,Tokyo
2017,Eliud Kipchoge,Male,Kenya,2:03:32,Berlin
2017,Gladys Cherono,Female,Kenya,2:20:23,Berlin
2016,Kenenisa Bekele,Male,Ethiopia,2:03:03,Berlin
2016,Aberu Kebede,Female,Ethiopia,2:20:45,Berlin
2015,Eliud Kipchoge,Male,Kenya,2:04:00,Berlin
2015,Gladys Cherono,Female,Kenya,2:19:25,Berlin
2014,Dennis Kimetto,Male,Kenya,2:02:57,Berlin
2014,Tirfi Tsegaye,Female,Ethiopia,2:20:18,Berlin
2013,Wilson Kipsang,Male,Kenya,2:03:23,Berlin
2013,Florence Kiplagat,Female,Kenya,2:21:13,Berlin
2012,Geoffrey Mutai,Male,Kenya,2:04:15,Berlin
2012,Aberu Kebede,Female,Ethiopia,2:20:30,Berlin
2011,Patrick Musyoki,Male,Kenya,2:03:38,Berlin
2011,Florence Kiplagat,Female,Kenya,2:19:44,Berlin
2010,Patrick Musyoki,Male,Kenya,2:05:08,Berlin
2010,Aberu Kebede,Female,Ethiopia,2:23:58,Berlin
2009,Haile Gebrselassie,Male,Ethiopia,2:06:08,Berlin
2009,Atsede Habtamu,Female,Ethiopia,2:24:47,Berlin
2008,Haile Gebrselassie,Male,Ethiopia,2:03:59,Berlin
2008,Irina Mikitenko,Female,Germany,2:19:19,Berlin
2007,Haile Gebrselassie,Male,Ethiopia,2:04:26,Berlin
2007,Gete Wami,Female,Ethiopia,2:23:17,Berlin
2006,Haile Gebrselassie,Male,Ethiopia,2:05:56,Berlin
2006,Gete Wami,Female,Ethiopia,2:21:34,Berlin
2005,Philip Manyim,Male,Kenya,2:07:41,Berlin
2005,Noguchi,Female,Japan,2:19:12,Berlin
2004,Felix Limo,Male,Kenya,2:06:44,Berlin
2004,Yoko Shibui,Female,Japan,2:19:41,Berlin
2003,Paul Tergat,Male,Kenya,2:04:55,Berlin
2003,Yasuko Hashimoto,Female,Japan,2:26:32,Berlin
2002,Raymond Kipkoech,Male,Kenya,2:06:47,Berlin
2002,Naoko Takahashi,Female,Japan,2:21:49,Berlin
2001,Joseph Ngolepus,Male,Kenya,2:08:47,Berlin
2001,Naoko Takahashi,Female,Japan,2:19:46,Berlin
2000,Simon Biwott,Male,Kenya,2:07:42,Berlin
2000,Kazumi Matsuo,Female,Japan,2:26:15,Berlin
1999,Josephat Kiprono,Male,Kenya,2:06:44,Berlin
1999,Tegla Loroupe,Female,Kenya,2:20:43,Berlin
1998,Ronaldo da Costa,Male,Brazil,2:06:05,Berlin
1998,Marleen Renders,Female,Belgium,2:25:22,Berlin
1997,Elijah Lagat,Male,Kenya,2:07:41,Berlin
1997,Catherina McKiernan,Female,Ireland,2:23:44,Berlin
1996,Abel Antón,Male,Spain,2:09:15,Berlin
1996,Colleen De Reuck,Female,South Africa,2:26:35,Berlin
1995,Sammy Lelei,Male,Kenya,2:07:02,Berlin
1995,Uta Pippig,Female,Germany,2:25:37,Berlin
1994,António Pinto,Male,Portugal,2:08:31,Berlin
1994,Katrin Dörre-Heinig,Female,Germany,2:25:15,Berlin
1993,Xolile Yawa,Male,South Africa,2:10:57,Berlin
